User Weight,Exercise ,National Stats (M),National Stats (F),User Stats
100,Squat,175,100,
,Bench Press,130,75,
,Barbell Row,70,50,
,Bicep (21s),15,15,
,Abs,20,20,
,Calves,20,20,
,Overhead Press,90,50,
,Deadlift,205,120,
,Chest Flys,20,20,
,Shoulder Shrugs,100,100,
,Triceps Dips,25,25,
,,,STx,
,,,,
User Weight,Exercise ,National Stats (M),National Stats (F),User Stats
130,Squat,205,130,
,Bench Press,155,95,
,Barbell Row,100,75,
,Bicep (21s),20,20,
,Abs,25,25,
,Calves,30,30,
,Overhead Press,105,70,
,Deadlift,240,160,
,Chest Flys,25,25,
,Shoulder Shrugs,150,150,
,Triceps Dips,25,25,
,,,,
,,,,
User Weight,Exercise ,National Stats (M),National Stats (F),User Stats
160,Squat,250,150,
,Bench Press,185,115,
,Barbell Row,130,100,
,Bicep (21s),25,25,
,Abs,30,30,
,Calves,40,40,
,Overhead Press,130,75,
,Deadlift,295,190,
,Chest Flys,25,25,
,Shoulder Shrugs,190,190,
,Triceps Dips,25,25,
,,,,
,,,,
User Weight,Exercise ,National Stats (M),National Stats (F),User Stats
190,Squat,175,100,
,Bench Press,215,130,
,Barbell Row,150,100,
,Bicep (21s),30,30,
,Abs,30,30,
,Calves,40,40,
,Overhead Press,145,85,
,Deadlift,335,205,
,Chest Flys,30,30,
,Shoulder Shrugs,215,215,
,Triceps Dips,25,25,
,,,,
,,,,
User Weight,Exercise ,National Stats (M),National Stats (F),User Stats
220,Squat,175,100,
,Bench Press,225,140,
,Barbell Row,160,110,
,Bicep (21s),35,35,
,Abs,30,30,
,Calves,45,45,
,Overhead Press,155,90,
,Deadlift,350,220,
,Chest Flys,35,35,
,Shoulder Shrugs,225,225,
,Triceps Dips,25,25,
,,,,
,,,,
User Weight,Exercise ,National Stats (M),National Stats (F),User Stats
250,Squat,175,100,
,Bench Press,230,150,
,Barbell Row,170,110,
,Bicep (21s),40,40,
,Abs,30,30,
,Calves,50,50,
,Overhead Press,160,95,
,Deadlift,365,230,
,Chest Flys,40,40,
,Shoulder Shrugs,245,245,
,Triceps Dips,25,25,
